IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.20.1.254,4,4,0.00,169.92,0.00
104.19.75.20,4,4,0.00,169.98,0.00
104.27.0.4,4,4,0.00,170.05,0.00
104.18.151.17,4,4,0.00,170.13,0.00
104.27.0.128,4,4,0.00,170.17,0.00
172.64.91.69,4,4,0.00,170.48,0.00
104.17.0.3,4,4,0.00,170.72,0.00
104.26.4.90,4,4,0.00,171.03,0.00
104.19.0.2,4,4,0.00,171.06,0.00
104.20.0.5,4,4,0.00,171.12,0.00
104.25.2.206,4,4,0.00,171.15,0.00
104.25.0.6,4,4,0.00,171.27,0.00
104.24.0.6,4,4,0.00,171.28,0.00
104.17.60.246,4,4,0.00,171.42,0.00
104.16.0.1,4,4,0.00,171.42,0.00
198.41.195.102,4,4,0.00,171.45,0.00
198.41.194.16,4,4,0.00,171.62,0.00
172.64.230.5,4,4,0.00,171.63,0.00
172.64.230.6,4,4,0.00,171.76,0.00
188.114.97.247,4,4,0.00,171.97,0.00
104.18.163.24,4,4,0.00,171.99,0.00
104.26.0.6,4,4,0.00,172.20,0.00
172.65.0.8,4,4,0.00,172.27,0.00
104.17.164.205,4,4,0.00,172.36,0.00
104.26.1.124,4,4,0.00,172.39,0.00
104.21.0.4,4,4,0.00,172.42,0.00
172.64.230.3,4,4,0.00,172.51,0.00
104.24.141.13,4,4,0.00,172.70,0.00
190.93.246.120,4,4,0.00,172.71,0.00
104.21.0.5,4,4,0.00,172.73,0.00
104.27.0.3,4,4,0.00,172.80,0.00
104.26.0.8,4,4,0.00,172.93,0.00
104.25.0.7,4,4,0.00,173.00,0.00
103.21.244.42,4,4,0.00,173.00,0.00
188.114.96.5,4,4,0.00,173.18,0.00
104.20.0.6,4,4,0.00,173.30,0.00
104.19.0.5,4,4,0.00,173.31,0.00
104.27.0.1,4,4,0.00,173.50,0.00
104.17.167.13,4,4,0.00,173.55,0.00
104.17.69.24,4,4,0.00,173.55,0.00
104.19.0.3,4,4,0.00,173.58,0.00
104.16.151.202,4,4,0.00,173.77,0.00
188.114.98.147,4,4,0.00,173.77,0.00
172.65.0.6,4,4,0.00,174.25,0.00
104.25.0.5,4,4,0.00,174.53,0.00
198.41.208.13,4,4,0.00,174.58,0.00
104.27.0.9,4,4,0.00,174.89,0.00
104.17.26.39,4,4,0.00,175.05,0.00
188.114.96.8,4,4,0.00,175.69,0.00
104.26.8.11,4,4,0.00,176.58,0.00
104.18.0.6,4,4,0.00,176.59,0.00
172.66.0.2,4,4,0.00,176.62,0.00
104.20.0.9,4,4,0.00,176.86,0.00
104.21.0.6,4,4,0.00,176.92,0.00
104.17.0.1,4,4,0.00,176.92,0.00
104.27.0.7,4,4,0.00,177.21,0.00
104.21.5.78,4,4,0.00,177.39,0.00
104.25.3.41,4,4,0.00,177.40,0.00
104.26.0.2,4,4,0.00,177.58,0.00
104.17.3.170,4,4,0.00,177.67,0.00
104.25.0.4,4,4,0.00,177.83,0.00
104.27.3.97,4,4,0.00,177.84,0.00
104.18.223.25,4,4,0.00,177.98,0.00
172.64.232.9,4,4,0.00,178.31,0.00
104.26.3.16,4,4,0.00,178.39,0.00
104.26.0.3,4,4,0.00,178.47,0.00
188.114.96.9,4,4,0.00,179.39,0.00
172.64.232.4,4,4,0.00,179.46,0.00
104.16.65.1,4,4,0.00,179.70,0.00
104.20.0.4,4,4,0.00,179.79,0.00
104.24.0.9,4,4,0.00,179.91,0.00
172.66.207.16,4,4,0.00,180.06,0.00
104.27.0.8,4,4,0.00,180.13,0.00
172.64.230.8,4,4,0.00,180.14,0.00
172.64.232.2,4,4,0.00,180.33,0.00
188.114.96.4,4,4,0.00,180.56,0.00
